Publication Year,Author,Title,Publication Title,ISBN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Publisher,Language,Manual Tags,Conference Name
2012,"Avanzi, Mathieu; Dubosson, Pauline; Schwab, Sandra",Effects of dialectal origin on articulation rate in French,Interspeech 2012,,10.21437/Interspeech.2012-201,https://www.isca-speech.org/archive/interspeech_2012/avanzi12b_interspeech.html,"This paper compares the articulation rate of 4 varieties of French: Parisian French (PA); Swiss French spoken in Neuchâtel (NE) and French spoken by Swiss German speakers (BE and ZH) who have been living in a French-speaking environment (in Neuchâtel) for 20 years at least. The objective is twofold: to assess the differences in articulation rate between native French speakers of a standard variety (PA) and native French speakers of a regional variety (NE), and to address whether the non-native speakers (BE and ZH) exhibit a different behavior regarding their articulation rate compared with the native speakers of the corresponding variety (NE). Aside from the ""regional"" factor, this study takes into account additional factors that may have an influence on articulation rate: the gender and age of the speakers, the speech style (reading or conversational) and the number of syllables within the Accentual Phrase.",09/09/2012,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:13,651-654,ISCA,en,L1,Interspeech 2012
2008,"Badino, Leonardo; Clark, Robert A. J.; Strom, Volker",Including pitch accent optionality in unit selection text-to-speech synthesis,Interspeech 2008,,10.21437/Interspeech.2008-549,https://www.isca-speech.org/archive/interspeech_2008/badino08_interspeech.html,A signiﬁcant variability in pitch accent placement is found when comparing the patterns of prosodic prominence realized by different English speakers reading the same sentences.,22/09/2008,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:13,2118-2121,ISCA,en,prosody,Interspeech 2008
2012,"Badino, Leonardo; Clark, Robert A. J.; Wester, Mirjam",Towards hierarchical prosodic prominence generation in TTS synthesis,Interspeech 2012,,10.21437/Interspeech.2012-628,https://www.isca-speech.org/archive/interspeech_2012/badino12_interspeech.html,"We address the problem of identiﬁcation (from text) and generation of pitch accents in HMM-based English TTS synthesis. We show, through a large scale perceptual test, that a large improvement of the binary discrimination between pitch accented and non-accented words has no effect on the quality of the speech generated by the system. On the other side adding a third accent type that emphatically marks words that convey ”contrastive” focus (automatically identiﬁed from text) produces beneﬁcial effects on the synthesized speech. These results support the accounts on prosodic prominence that consider the prosodic patterns of utterances as hierarchical structured and point out the limits of a ﬂattening of such structure resulting from a simple accent/non-accent distinction.",09/09/2012,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:13,2398-2401,ISCA,en,prosody,Interspeech 2012
2007,"Barry, William; Andreeva, Bistra; Steiner, Ingmar",The phonetic exponency of phrasal accentuation in French and German,Interspeech 2007,,10.21437/Interspeech.2007-355,https://www.isca-speech.org/archive/interspeech_2007/barry07_interspeech.html,"The acoustic-phonetic properties of words spoken with three different levels of accentuation (de-accented, pre-nuclear and nuclear accented in broad-focus and nuclear accented in narrow-focus) are examined in question-answer elicited sentences and iterative imitations (on the syllable da) produced by six French and six German speakers. Normalised parameter values allow a comparative weighting of the properties employed in differentiating the three levels of accentuation. Clear differences are found between French and German in the weighting hierarchy of the acoustic properties.",27/08/2007,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:13,1010-1013,ISCA,en,prosody,Interspeech 2007
2013,"Behravan, Hamid; Hautamäki, Ville; Kinnunen, Tomi",Foreign accent detection from spoken Finnish using i-vectors,Interspeech 2013,,10.21437/Interspeech.2013-42,https://www.isca-speech.org/archive/interspeech_2013/behravan13_interspeech.html,"I-vector based recognition is a well-established technique in state-of-the-art speaker and language recognition but its use in dialect and accent classiﬁcation has received less attention. We represent an experimental study of i-vector based dialect classiﬁcation, with a special focus on foreign accent detection from spoken Finnish. Using the CallFriend corpus, we ﬁrst study how recognition accuracy is affected by the choices of various i-vector system parameters, such as the number of Gaussians, i-vector dimensionality and reduction method. We then apply the same methods on the Finnish national foreign language certiﬁcate (FSD) corpus and compare the results to traditional Gaussian mixture model - universal background model (GMM-UBM) recognizer. The results, in terms of equal error rate, indicate that i-vectors outperform GMM-UBM as one expects. We also notice that in foreign accent detection, 7 out of 9 accents were more accurately detected by Gaussian scoring than by cosine scoring.",25/08/2013,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:13,79-83,ISCA,en,L2,Interspeech 2013
2009,"Beňuš, Štefan",Are we `in sync': turn-taking in collaborative dialogues,Interspeech 2009,,10.21437/Interspeech.2009-618,https://www.isca-speech.org/archive/interspeech_2009/benus09b_interspeech.html,"We used a corpus of collaborative task oriented dialogues in American English to compare two units of rhythmic structure – pitch accents and syllables – within the coupled oscillator model of rhythmical entrainment in turn-taking proposed in [1]. We found that pitch accents are a slightly better fit than syllables as the unit of rhythmical structure for the model, but we also observed weak support for the model in general. Some turn-taking types were rhythmically more salient than others.",06/09/2009,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:14,2167-2170,ISCA,en,prosody,Interspeech 2009
2006,"Beskow, Jonas; Granström, Björn; House, David",Visual correlates to prominence in several expressive modes,Interspeech 2006,,10.21437/Interspeech.2006-375,https://www.isca-speech.org/archive/interspeech_2006/beskow06_interspeech.html,"In this paper, we present measurements of visual, facial parameters obtained from a speech corpus consisting of short, read utterances in which focal accent was systematically varied. The utterances were recorded in a variety of expressive modes including certain, confirming, questioning, uncertain, happy, angry and neutral. Results showed that in all expressive modes, words with focal accent are accompanied by a greater variation of the facial parameters than are words in non-focal positions. Moreover, interesting differences between the expressions in terms of different parameters were found.",17/09/2006,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:14,paper 1922-Tue3WeO.1-0,ISCA,en,prosody,Interspeech 2006
2013,"Best, Catherine T.; Shaw, Jason A.; Clancy, Elizabeth",Recognizing words across regional accents: the role of perceptual assimilation in lexical competition,Interspeech 2013,,10.21437/Interspeech.2013-504,https://www.isca-speech.org/archive/interspeech_2013/best13_interspeech.html,"Unfamiliar regional accents disrupt spoken word recognition by L2 and L1 learners and L1 adults, and confuse ASR and smart systems. Little is known, however, about which aspects of non-native accents hinder word recognition, or what processes are involved. We assessed how Australian English (AusE) listeners’ recognition of words in unfamiliar accents is affected by two types of cross-accent perceptual assimilation: 1) other-accent phones that constitute ‘deviant’ versions of the matching AusE phonemes (Category Goodness assimilation: CG); 2) phones that cross a native phonological boundary, i.e., assimilate to mismatching AusE phonemes (Category Shift: CS). Eyetracking (“visual world”) revealed the timecourse of lexical competition during online identification of words spoken in Jamaican (JaME: vowel differences from AusE) and Cockney English (CknE: consonant differences), while choosing among four printed choice words: target, onset and offset competitors, unrelated distracter. Recognition was slower, and both competitor types were considered more and longer for JaME and CknE than AusE pronunciations; these effects were stronger for CS than CG differences. We conclude that: 1) perceptual assimilation plays a key role in cross-accent word recognition; 2) lexical competition involves not only onsets but also later aspects of words; 3) vowel and consonant variations affect lexical competition similarly.",25/08/2013,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:14,2128-2132,ISCA,en,L1,Interspeech 2013
2015,"Bhat, Chitralekha; Kopparapu, Sunil",Viseme comparison based on phonetic cues for varying speech accents,Interspeech 2015,,10.21437/Interspeech.2015-676,https://www.isca-speech.org/archive/interspeech_2015/bhat15_interspeech.html,"Human interaction through speech is a multisensory activity, wherein the spoken audio is perceived using both auditory and visual cues. However, in the absence of auditory stimulus, speech content can be perceived through lip reading, using the dynamics of the social context. In our earlier work [1], we had presented a tool enabling hearing impaired to understand spoken speech in videos, through lip reading. During evaluation it was found that a hearing impaired person, trained to lip read Indian English was unable to lip read speech in other accents of English. We hypothesize that this difﬁculty can be attributed to a difference in viseme formation arising from underlying phonetic characteristics. In this paper, we present a comparison between auditory and visual space for the same speech utterance in English, as spoken by an Indian and a Croatian national. Results show a clear correlation between distances in the visual and auditory domain at viseme level. We then evaluate the feasibility of building visual subtitles through viseme adaptation from unknown accent to known accent.",06/09/2015,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:14,3412-3416,ISCA,en,L2,Interspeech 2015
2008,"Bi, Fukun; Yang, Jian; Xu, Dan",Automatic accent classification using ensemble methods,Interspeech 2008,,10.21437/Interspeech.2008-234,https://www.isca-speech.org/archive/interspeech_2008/bi08_interspeech.html,"Accent classification technologies directly influence the performance of the state-of-the-art speech recognition system. In this paper, we propose a novel scheme for accent classification, which uses decision-templates (DT) ensemble algorithm to combine base classifiers built on acoustic feature subsets. Different feature subsets can provide sufficient diversity among base classifiers, which is known as a necessary condition for improvement in ensemble performance. Compared with those methods of Majority Voting ensemble and Support Vector Machine, our ensemble scheme can achieve the highest performance. On the other hand, we investigate the possible reasons why ensemble systems can provide potential performance, in terms of diversity analysis. In our experiments, a native Mandarin speech corpus and a non-native multi-accent Mandarin speech corpus which contains three typical minorities’ accents in Yunnan, China, are adopted.",22/09/2008,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:14,755-758,ISCA,en,L1,Interspeech 2008
2011,"Biadsy, Fadi; Hirschberg, Julia; Ellis, Daniel P. W.",Dialect and accent recognition using phonetic-segmentation supervectors,Interspeech 2011,,10.21437/Interspeech.2011-285,https://www.isca-speech.org/archive/interspeech_2011/biadsy11_interspeech.html,"We describe a new approach to automatic dialect and accent recognition which exceeds state-of-the-art performance in three recognition tasks. This approach improves the accuracy and substantially lower the time complexity of our earlier phoneticbased kernel approach for dialect recognition. In contrast to state-of-the-art acoustic-based systems, our approach employs phone labels and segmentation to constrain the acoustic models. Given a speaker’s utterance, we ﬁrst obtain phone hypotheses using a phone recognizer and then extract GMM-supervectors for each phone type, effectively summarizing the speaker’s phonetic characteristics in a single vector of phone-type supervectors. Using these vectors, we design a kernel function that computes the phonetic similarities between pairs of utterances to train SVM classiﬁers to identify dialects. Comparing this approach to the state-of-the-art, we obtain a 12.9% relative improvement in EER on Arabic dialects, and a 17.9% relative improvement for American vs. Indian English dialects. We also see a 53.5% relative improvement over a GMM-UBM on American Southern vs. Non-Southern English.",27/08/2011,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:14,745-748,ISCA,en,L1,Interspeech 2011
2011,"Biadsy, Fadi; Wang, William Yang; Rosenberg, Andrew; Hirschberg, Julia","Intoxication detection using phonetic, phonotactic and prosodic cues",Interspeech 2011,,10.21437/Interspeech.2011-803,https://www.isca-speech.org/archive/interspeech_2011/biadsy11b_interspeech.html,"In this paper, we investigate multiple approaches for automatically detecting intoxicated speakers given samples of their speech. Intoxicated speech in a given language can be viewed simply as a different accent of this language; therefore we adopt our recent approach to dialect and accent recognition to detect intoxication. The system models phonetic structural differences across sober and intoxicated speakers. This approach employs SVM with a kernel function that computes similarities between adapted phone GMMs which summarize speakers’ phonetic characteristics in their utterances. We also investigate additional cues, such as prosodic events, phonotactics and phonetic durations under intoxicated and sober conditions. We ﬁnd that our phonetic-based system when combined with phonotactic features provides us with our best result on the ofﬁcial development set, an accuracy of 73% and an equal error rate of 26.3%, signiﬁcantly higher than the ofﬁcial baseline.",27/08/2011,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:14,3209-3212,ISCA,en,L1,Interspeech 2011
2019,"Biadsy, Fadi; Weiss, Ron J.; Moreno, Pedro J.; Kanvesky, Dimitri; Jia, Ye",Parrotron: An End-to-End Speech-to-Speech Conversion Model and its Applications to Hearing-Impaired Speech and Speech Separation,Interspeech 2019,,10.21437/Interspeech.2019-1789,https://www.isca-speech.org/archive/interspeech_2019/biadsy19_interspeech.html,"We describe Parrotron, an end-to-end-trained speech-to-speech conversion model that maps an input spectrogram directly to another spectrogram, without utilizing any intermediate discrete representation. The network is composed of an encoder, spectrogram and phoneme decoders, followed by a vocoder to synthesize a time-domain waveform. We demonstrate that this model can be trained to normalize speech from any speaker regardless of accent, prosody, and background noise, into the voice of a single canonical target speaker with a ﬁxed accent and consistent articulation and prosody. We further show that this normalization model can be adapted to normalize highly atypical speech from a deaf speaker, resulting in signiﬁcant improvements in intelligibility and naturalness, measured via a speech recognizer and listening tests. Finally, demonstrating the utility of this model on other speech tasks, we show that the same model architecture can be trained to perform a speech separation task.",15/09/2019,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:14,4115-4119,ISCA,en,L1-or-L2,Interspeech 2019
2006,"Bijeljac-Babic, Ranka; Dodane, Christelle; Metta, Sabine; Gérard, Claire","Productions in bilinguism, early foreign language learning and monolinguism: a prosodic comparison",Interspeech 2006,,10.21437/Interspeech.2006-412,https://www.isca-speech.org/archive/interspeech_2006/bijeljacbabic06_interspeech.html,"The degree of L2 foreign accent is likely to vary, according to the age of the acquisition, the length of contact with L2 and the possible interaction between L1 and L2. This study examined how children who master French and English at different levels pronounce disyllabic words in both languages. Acoustic analysis (F0, duration and amplitude) of syllables in disyllabic words were compared between 8 bilingual children (French-English, aged between 3;6 and 6;1 years) and 16 monolingual children (8 French children and 8 English children of the same age) and confronted to the analysis of 20 (7 years aged) early French Learners of English (FLE) children. Results showed that the bilingual children acquired prosodic patterns in both languages. However, the accent of their disyllabic words differed from those of the monolingual children. French 7 years old-aged learners of English, after only two years of acquisition, produced the native-like accent. Our findings modulate the “critical age” hypothesis and bring some new elements in favour of the L1 and L2 obligatory interaction hypothesis.",17/09/2006,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:14,paper 1582-Tue3CaP.4-0,ISCA,en,prosody,Interspeech 2006
2005,"Bishop, Judith; Peake, Marc; Sityaev, Dmitry",Intonational sequences in tuscan Italian,Interspeech 2005,,10.21437/Interspeech.2005-507,https://www.isca-speech.org/archive/interspeech_2005/bishop05_interspeech.html,"Sequential distributions of intonational pitch accents in a hand-labelled, read speech corpus of Tuscan Italian are analysed in relation to (1) the global frequencies of accents; (2) evidence of consistent patterns of association between accents. A subset of syntactically controlled nominal phrases are examined to determine whether the fact of their constituting a coherent syntactic unit has any effect on their patterns of sequential tone distribution, i.e. whether they are associated with a given tune. Some evidence is found for patterns of association between accents, and between sequences of accents and our chosen type of nominal phrase.",04/09/2005,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:14,1421-1424,ISCA,en,prosody,Interspeech 2005
2011,"Boula de Mareüil, Philippe; Rouas, Jean-Luc; Yapomo, Manuela",In search of cues discriminating West-african accents in French,Interspeech 2011,,10.21437/Interspeech.2011-280,https://www.isca-speech.org/archive/interspeech_2011/boulademareuil11_interspeech.html,"This study investigates to what extent West-African French accents can be distinguished, based on recordings made in Burkina Faso, Ivory Coast, Mali and Senegal. First, a perceptual experiment was conducted, suggesting that these accents are well identified by West-African listeners (especially the Senegal and Ivory Coast accents). Second, prosodic and segmental cues were studied by using speech processing methods such as automatic phoneme alignment. Results show that the Senegal accent (with a tendency toward word-initial stress followed by a falling pitch movement) and the Ivory Coast accent (with a tendency to delete/vocalise the /R/ consonant) are most distinct from standard French and among the West-African accents under investigation.",27/08/2011,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:14,725-728,ISCA,en,L1,Interspeech 2011
2008,"Bouselmi, Ghazi; Fohr, Dominique; Illina, Irina",Multi-accent and accent-independent non-native speech recognition,Interspeech 2008,,10.21437/Interspeech.2008-670,https://www.isca-speech.org/archive/interspeech_2008/bouselmi08b_interspeech.html,"In this article we present a study of a multi-accent and accentindependent non-native speech recognition. We propose several approaches based on phonetic confusion and acoustic adaptation. The goal of this article is to investigate the feasibility of multi-accent non-native speech recognition without detecting the origin of the speaker. Tests on the HIWIRE corpus show that multi-accent pronunciation modeling and acoustic adaptation reduce the WER by up to 76% compared to results of canonical models of the target language. We also investigate accentindependent approaches in order to assess the robustness of the proposed methods to unseen foreign accents. Experiments show that our approaches correctly handle unseen accents and give up to 55% WER reduction, compared to the models of the target language. Finally, the proposed pronunciation modeling approach maintains the recognition accuracy on canonical native speech as assessed by our experiments on the TIMIT corpus.",22/09/2008,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:14,2703-2706,ISCA,en,L1-or-L2,Interspeech 2008
2004,"Brahimi, Belynda; Mareuil, Philippe Boula de; Gendrot, Cedric",Role of segmental and suprasegmental cues in the perception of Maghrebian-accented French,Interspeech 2004,,10.21437/Interspeech.2004-153,https://www.isca-speech.org/archive/interspeech_2004/brahimi04_interspeech.html,"The general objective of this study is to clear up the relative importance of prosody in the identification of a foreign accent. The methodology we propose, based on the prosody transplantation paradigm, can be applied to different languages or language varieties. Here, it is applied to Magrhrebianaccented French: we wanted to study what is perceived when the segmental and suprasegmental characteristics of Maghrebian and native French speakers are crossed. Results obtained with French listeners (accent degree rating task) and Algerian listeners (origin identification task) converge and suggest that the articulation of phonemes overrides prosody to account for Maghrebian accents in French.",04/10/2004,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:14,341-344,ISCA,en,L2,Interspeech 2004
2012,"Braun, Bettina",Where to associate stressed additive particles? evidence from speech prosody,Interspeech 2012,,10.21437/Interspeech.2012-208,https://www.isca-speech.org/archive/interspeech_2012/braun12_interspeech.html,"Theoretical approaches mostly associate stressed additive particles (e.g., auch in German) with contrastive topics. Empirical data show that these associated constituents (ACs) are produced more prominently than unassociated ones; however, they are not produced as contrastive topics. This paper compares the prosodic realizations of ACs, contrastive and non-contrastive topics. We found no differences in accent types but later alignment for contrastive than non-contrastive topics; ACs lie in-between. An unrestricted sentence completion task tested whether listeners produce more additive particles upon hearing fragments with contrastive compared to non-contrastive topics. Completions containing additive particles were generally very rare, but crucially more frequent in sentences with a contrastive topic compared to a non-contrastive topic. We conclude that stressed additive particles associate with prominent accents, which may often be contrastive topics.",09/09/2012,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:14,679-682,ISCA,en,prosody,Interspeech 2012
2013,"Braun, Bettina; Asano, Yuki","Double contrast is signalled by prenuclear and nuclear accent types alone, not by f0-plateaux",Interspeech 2013,,10.21437/Interspeech.2013-80,https://www.isca-speech.org/archive/interspeech_2013/braun13b_interspeech.html,"In two speeded acceptability experiments we tested which combination of prenuclear accent, nuclear accent and f0interpolation between them is best suited to signal a double contrast in German (i.e., a contrastive topic followed by a contrastive focus). The experimental utterances differed in the prenuclear accent (medial- vs. late-peak, i.e., L+H* vs. L*+H), the nuclear accent (early- vs. medial-peak, i.e., H+L* vs. H*) and the f0-interpolation between them (high or dipping). All utterances were judged for their acceptability in a contrastive (Experiment 1) and a non-contrastive context (control Experiment 2). Our results showed that the combination of a late-peak prenuclear accent (L*+H) and an early-peak nuclear accent (H+L*) is best suited to signal a double contrast, independent of the f0-interpolation. The reaction time data also support the view that the f0-interpolation is not necessary for the interpretation of a double contrast.",25/08/2013,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:14,263-266,ISCA,en,prosody,Interspeech 2013
