Publication Year,Author,Title,Publication Title,ISBN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Publisher,Language,Manual Tags,Conference Name
2018,"Fukuda, Takashi; Fernandez, Raul; Rosenberg, Andrew; Thomas, Samuel; Ramabhadran, Bhuvana; Sorin, Alexander; Kurata, Gakuto",Data Augmentation Improves Recognition of Foreign Accented Speech,Interspeech 2018,,10.21437/Interspeech.2018-1211,https://www.isca-speech.org/archive/interspeech_2018/fukuda18_interspeech.html,"Speech recognition of foreign accented (non-native or L2) speech remains a challenge to the state-of-the-art. The most common approach to address this scenario involves the collection and transcription of accented speech, and incorporating this into the training data. However, the amount of accented data is dwarfed by the amount of material from native (L1) speakers, limiting the impact of the additional material. In this work, we address this problem via data augmentation. We create modiﬁed copies of two accents, Latin American and Asian accented English speech with voice transformation (modifying glottal source and vocal tract parameters), noise addition, and speed modiﬁcation. We investigate both supervised (where transcription of the accented data is available) and unsupervised approaches to using the accented data and associated augmentations. We ﬁnd that all augmentations provide improvements, with the largest gains coming from speed modiﬁcation, then voice transformation and noise addition providing the least improvement. The improvements from training accent speciﬁc models with the augmented data are substantial. Improvements from supervised and unsupervised adaptation (or training with soft labels) with the augmented data are relatively minor. Overall, we ﬁnd speed modiﬁcation to be a remarkably reliable data augmentation technique for improving recognition of foreign accented speech. Our strategies with associated augmentations provide Word Error Rate (WER) reductions of up to 30% relative over a baseline trained with only the accented data.",02/09/2018,22/02/2023 10:36,01/03/2023 17:01,30/01/2023 14:18,2409-2413,ISCA,en,ASR; L2; data-augmentation; definition; some-description,Interspeech 2018
2015,"Grohe, Ann-Kathrin; Poarch, Gregory J.; Hanulíková, Adriana; Weber, Andrea",Production inconsistencies delay adaptation to foreign accents,Interspeech 2015,,10.21437/Interspeech.2015-627,https://www.isca-speech.org/archive/interspeech_2015/grohe15_interspeech.html,"The effects of production inconsistencies and speaker’s accented production preferences on speech comprehension were investigated in an eyetracking experiment. Using the visual world paradigm, native speakers of German with L2 English listened to single English words produced by a German speaker that had their th either pronounced canonically or substituted with an /s/ or a /t/. Looks to the target word were most likely for the canonical pronunciation and did not differ between the substitutes. However, target looks increased for items with th substitutions in the course of the experiment, indicating slow adaptation to inconsistently foreign accented speech.",06/09/2015,22/02/2023 10:36,07/03/2023 13:57,30/01/2023 14:18,3115-3119,ISCA,en,english; L2; not-tech; perception-study; some-description; listener-description; no-speaker-description,Interspeech 2015
2020,"Hirschi, Kevin; Kang, Okim; Cucchiarini, Catia; Hansen, John H.L.; Evanini, Keelan; Strik, Helmer",Mobile-Assisted Prosody Training for Limited English Proficiency: Learner Background and Speech Learning Pattern,Interspeech 2020,,10.21437/Interspeech.2020-2901,https://www.isca-speech.org/archive/interspeech_2020/hirschi20_interspeech.html,"The use of Mobile-Assisted Pronunciation Training (MAPT) has been increasing drastically due to the personal and interactive nature of mobile devices. However, MAPT applications lack support from empirical evidence as research on MAPT-based acquisition, particularly related to prosody, has been rare. The present study employs a MAPT application with lessons on lexical stress and prominence with Limited English Proficiency (LEP) users (n = 31) of mixed ages and first languages. Then, 16 experienced raters conducted discoursebased prosodic analysis on unconstrained speech collected at the beginning and the end of the intervention. A series of mixedeffect model analyses were conducted on learner effort, improvement and learner background to investigate their relationship with accentedness and comprehensibility. The results indicated that present MAPT prosody interventions were effective for comprehensibility but not accentedness, however, learner effort on lexical stress and prominence exhibit differing patterns. Similar to previous findings, learner age impacts production more than the length of residency or history of language study. Implications include a prosody-based MAPT application; support for the treatment of accentedness and comprehensibility as separate, but related constructs; and a further understanding of the role of learner-related factors in prosody intervention.",25/10/2020,22/02/2023 10:36,07/03/2023 11:27,30/01/2023 14:18,4452-4456,ISCA,en,ASR; L2; teaching; accentedness-rating; almost-no-description; lang-in-title,Interspeech 2020
2013,"Hou, Luying; Jia, Yuan; Li, Aijun",Phonetic manifestation and influence of zero anaphora in Chinese reading texts,Interspeech 2013,,10.21437/Interspeech.2013-372,https://www.isca-speech.org/archive/interspeech_2013/hou13_interspeech.html,"The present paper conducts a pioneering study on the phonetic manifestation and influence of zero anaphora in Chinese reading texts. The stress degree of the boundary syllable and the duration of the pause at the anaphoric position are examined. The results show: i) the boundary syllable after zero anaphoric form is more accented; for the two types of zero anaphora concerned in this study, the boundary syllable after distant zero anaphoric form is more accented than that after immediate zero anaphoric form; ii) the boundary syllable before immediate anaphoric form is more accented than that before distant anaphoric form; iii) the pause before immediate zero anaphoric form is shorter than that before other types of anaphoric forms. Based on these results, the study further proposes that the syllable weight of the underlying anaphoric form is projected to the following syllable in the surface representation. Moreover, semantic distance and relation can account for the differences between distant and immediate zero anaphora.",25/08/2013,22/02/2023 10:36,22/02/2023 10:36,30/01/2023 14:18,1424-1428,ISCA,en,prosody; mandarin,Interspeech 2013
2017,"Hou, Luying; Bruyn, Bert Le; Kager, René",Disambiguate or not? — The Role of Prosody in Unambiguous and Potentially Ambiguous Anaphora Production in Strictly Mandarin Parallel Structures,Interspeech 2017,,10.21437/Interspeech.2017-1214,https://www.isca-speech.org/archive/interspeech_2017/hou17_interspeech.html,"It has been observed that the interpretation of pronouns can depend on their accentuation patterns in parallel sentences as “John hit Bill and then George hit him”, in which ‘him’ refers to Bill when unaccented but shifts to John when accented. While accentuation is widely regarded as a means of disambiguation, some studies have noticed that it also extends to unambiguous anaphors [7-10]. From the perspective of production, however, no strong experimental confirmation was found for the ‘shift’ function of accented pronouns, which is due to the fact that production research has mainly focused on corpora [5, 6]. Hence, the nature of the accent on anaphors still remains obscure. By manipulating referential shift and ambiguity, this study explores the role of prosody in anaphora production in strictly Mandarin parallel structures. The results reveal a significantly higher F0 and longer duration for anaphors in referentially shifted conditions, suggesting that anaphoric accentuation signals a referential change in strictly parallel structures in Mandarin. No evidence was found that ambiguity plays a role in anaphoric accentuation. This finding challenges the general view on accented pronouns and will deepen our understanding on semantics-prosody relationship.",20/08/2017,22/02/2023 10:36,22/02/2023 10:36,30/01/2023 14:18,1393-1397,ISCA,en,prosody; mandarin,Interspeech 2017
2018,"Jain, Abhinav; Upreti, Minali; Jyothi, Preethi",Improved Accented Speech Recognition Using Accent Embeddings and Multi-task Learning,Interspeech 2018,,10.21437/Interspeech.2018-1864,https://www.isca-speech.org/archive/interspeech_2018/jain18_interspeech.html,"One of the major remaining challenges in modern automatic speech recognition (ASR) systems for English is to be able to handle speech from users with a diverse set of accents. ASR systems that are trained on speech from multiple English accents still underperform when confronted with a new speech accent. In this work, we explore how to use accent embeddings and multi-task learning to improve speech recognition for accented speech. We propose a multi-task architecture that jointly learns an accent classiﬁer and a multi-accent acoustic model. We also consider augmenting the speech input with accent information in the form of embeddings extracted by a separate network. These techniques together give signiﬁcant relative performance improvements of 15% and 10% over a multi-accent baseline system on test sets containing seen and unseen accents, respectively.",02/09/2018,22/02/2023 10:36,27/02/2023 08:14,30/01/2023 14:18,2454-2458,ISCA,en,ASR; L1-or-L2; no-description-of-accent; definition,Interspeech 2018
2005,"Jilka, Matthias",Exploration of different types of intonational deviations in foreign-accented and synthesized speech,Interspeech 2005,,10.21437/Interspeech.2005-44,https://www.isca-speech.org/archive/interspeech_2005/jilka05_interspeech.html,"The study provides an analysis of the basic manifestations of intonational deviations in foreign-accented (American English accent in German) and synthesized speech. It takes into account the crucial influence of the used model of intonation description and makes a major distinction between individual deviations that cause the impression of foreignness or unnaturalness immediately when they occur, and others that do so only when an accumulation of several such deviations does not allow for a meaningful interpretation anymore. It is argued that this is due to the high variability allowed in prosodic contexts. A closer description of the first group of deviations includes the transfer of categories and of the phonetic realizations of categories as well as a discussion of seemingly unmotivated errors and the most likely causes of intonation errors in synthesized speech. Finally, it is shown that in the case of foreign accent the language-specific manifestations of the presented deviations combine to create a characteristic overall impression of foreignness that is recognizable independently of the segmental content of an utterance.",04/09/2005,22/02/2023 10:36,26/02/2023 11:17,30/01/2023 14:18,2393-2396,ISCA,en,L2; teaching; speech-error-detection; some-description; foreign-accent,Interspeech 2005
2020,"Khandelwal, Kartik; Jyothi, Preethi; Awasthi, Abhijeet; Sarawagi, Sunita",Black-Box Adaptation of ASR for Accented Speech,Interspeech 2020,,10.21437/Interspeech.2020-3162,https://www.isca-speech.org/archive/interspeech_2020/khandelwal20_interspeech.html,"We introduce the problem of adapting a black-box, cloud-based ASR system to speech from a target accent. While leading online ASR services obtain impressive performance on mainstream accents, they perform poorly on sub-populations — we observed that the word error rate (WER) achieved by Google’s ASR API on Indian accents is almost twice the WER on US accents. Existing adaptation methods either require access to model parameters or overlay an error correcting module on output transcripts. We highlight the need for correlating outputs with the original speech to ﬁx accent errors. Accordingly, we propose a novel coupling of an open-source accent-tuned local model with the black-box service where the output from the service guides frame-level inference in the local model. Our ﬁne-grained merging algorithm is better at ﬁxing accent errors than existing word-level combination strategies. Experiments on Indian and Australian accents with three leading ASR models as service, show that we achieve upto 28% relative reduction in WER over both the local and service models.",25/10/2020,22/02/2023 10:36,27/02/2023 08:14,30/01/2023 14:18,1281-1285,ISCA,en,ASR; L1-or-L2; some-description; no-def,Interspeech 2020
2006,"Li, Aijun; Fang, Qiang; Xiong, Ziyu","Phonetic research on accented Chinese in three dialectal regions: Shanghai, Wuhan and Xiamen",Interspeech 2006,,10.21437/Interspeech.2006-245,https://www.isca-speech.org/archive/interspeech_2006/li06e_interspeech.html,"There are 10 major dialects in China. Most people in dialectal regions are bilingual speakers, i.e. native dialect and Mandarin. Although lots of people can speak Mandarin, they speak it with different accents (called regional accented Chinese in this paper) depending on how well they grasp the language. In this study, we categorize the regional accented Chinese into 3 levels of accents according to phonetic annotation and subjective evaluation on a regional accented speech corpus of three regions: Shanghai, Wuhan and Xiamen. Three accent evaluation methods, namely segmental annotation, clustering on phonetic annotation and subjective evaluation, are compared based on phonetic error rates. The results show that objective evaluation score based on segmental pronunciation is higher than subjective evaluation for the same speaker. This implies that supra-segmental features play an important role in rating accent degree and segmental features alone are not enough for objective evaluation. In accent level criterion, the errors from prosodic and segmental aspects are not equal and the percentage of these two parts are various for different regional speakers. The result is helpful for machine evaluation, L2 teaching and acquisition.",17/09/2006,22/02/2023 10:36,07/03/2023 11:32,30/01/2023 14:18,paper 1143-Mon3FoP.4-0,ISCA,en,mandarin; L1; not-tech; speech-error-detection; accent-in-title,Interspeech 2006
2020,"Li, Yanping; Best, Catherine T.; Tyler, Michael D.; Burnham, Denis",Tone Variations in Regionally Accented Mandarin,Interspeech 2020,,10.21437/Interspeech.2020-1235,https://www.isca-speech.org/archive/interspeech_2020/li20ja_interspeech.html,"The present study investigated tone variations in regionally accented Mandarin (i.e., Standard Mandarin [SM] spoken by dialectal Chinese speakers) as influenced by the varying tone systems of their native dialects. 12 female speakers, four each from Guangzhou, Shanghai and Yantai, were recruited to produce monosyllabic words in SM that included minimal contrasts among the four Mandarin lexical tones. Since SM developed from the Beijing dialect, their pronunciations were compared to the same Mandarin words produced by four Beijing female speakers. Regional Mandarin speakers successfully produced the four Mandarin lexical tones, but their productions varied from SM. Two crucial acoustic measures for Mandarin lexical tones, F0 (fundamental frequency) and duration values, were fitted into linear mixed-effects models on differences between regional and Beijing accents. Regional speakers had longer word duration and different F0 height when producing SM, resulting in variations in Mandarin lexical tones across the regional accents. These findings shed light on regional accent variations in Mandarin lexical tones and lay a foundation for deeper understanding of their impact on perception of accented Mandarin lexical tones by native (Beijing) Mandarin listeners.",25/10/2020,22/02/2023 10:36,07/03/2023 12:49,30/01/2023 14:18,4158-4162,ISCA,en,mandarin; L1; not-tech; description-of-accent; perception-study; accent-in-title; speaker-description; listener-description,Interspeech 2020
2005,"Liu, Yi; Fung, Pascale",Acoustic and phonetic confusions in accented speech recognition,Interspeech 2005,,10.21437/Interspeech.2005-147,https://www.isca-speech.org/archive/interspeech_2005/liu05_interspeech.html,"Accented speech recognition is more challenging than standard speech recognition due to the effects of phonetic and acoustic confusions. Phonetic confusion in accented speech occurs when an expected phone is pronounced as a different one, which leads to erroneous recognition. Acoustic confusion occurs when the pronounced phone is found to lie acoustically between two baseform models and can be equally recognized as either one. We propose that it is necessary to analyze and model these confusions separately in order to improve accented speech recognition without degrading standard speech recognition. We propose using likelihood ratio test to measure phonetic confusion, and asymmetric acoustic distance to measure acoustic confusion. Only accent-specific phonetic units with low acoustic confusion are used in an augmented pronunciation dictionary, while phonetic models with high acoustic confusion are reconstructed using decision tree merging. Experimental results show that our approach is effective and superior to methods modeling phonetic confusion or acoustic confusion alone in accented speech, with a significant 5.7% absolute WER reduction, without degrading standard speech recognition.",04/09/2005,22/02/2023 10:36,27/02/2023 07:52,30/01/2023 14:18,3033-3036,ISCA,en,ASR; L1-or-L2; no def; some-description,Interspeech 2005
2017,"Maastricht, Lieke van; Zee, Tim; Krahmer, Emiel; Swerts, Marc","L1 Perceptions of L2 Prosody: The Interplay Between Intonation, Rhythm, and Speech Rate and Their Contribution to Accentedness and Comprehensibility",Interspeech 2017,,10.21437/Interspeech.2017-1150,https://www.isca-speech.org/archive/interspeech_2017/maastricht17_interspeech.html,"This study investigates the cumulative effect of (non-)native intonation, rhythm, and speech rate in utterances produced by Spanish learners of Dutch on Dutch native listeners’ perceptions. In order to assess the relative contribution of these language-specific properties to perceived accentedness and comprehensibility, speech produced by Spanish learners of Dutch was manipulated using transplantation and resynthesis techniques. Thus, eight manipulation conditions reflecting all possible combinations of L1 and L2 intonation, rhythm, and speech rate were created, resulting in 320 utterances that were rated by 50 Dutch natives on their degree of foreign accent and ease of comprehensibility.",20/08/2017,22/02/2023 10:36,07/03/2023 13:55,30/01/2023 14:18,364-368,ISCA,en,L2; not-tech; perception-study; definition; some-description; accentedness-rating; speaker-description; listener-description,Interspeech 2017
2013,"Michelas, Amandine; Portes, Cristel; Champagne-Lavau, Maud",Intonational contrasts encode speaker's certainty in neutral vs. incredulity declarative questions in French,Interspeech 2013,,10.21437/Interspeech.2013-227,https://www.isca-speech.org/archive/interspeech_2013/michelas13_interspeech.html,"While recent crosslinguistic studies have shown that the degree of speaker’s commitment or certainty is encoded intonationally either in a gradient or categorical fashion, our understanding of how French speakers use Intonational-Phrase (IP) final contours to signal their degree of certainty is limited. This paper investigates the contribution of a penultimate peak contour in French to convey speakers’ uncertainty. Participants read target sentences in a neutral vs. incredulity declarative question context. Prosodic annotation revealed that incredulity declarative questions consistently exhibited the presence of an additional f0 peak in the penultimate syllable of the IP which was unaccented. The acoustic analyses showed that the H tone of the unaccented penultimate peak was not downstepped and thus approximately scaled to the same height of the last pitch accent. The findings of this study provide the first quantitative description of a phonological contrast between H*H% and H+ H*H% to signal speakers’ certainty in declarative questions in French.",25/08/2013,22/02/2023 10:36,22/02/2023 10:36,30/01/2023 14:18,783-787,ISCA,en,prosody,Interspeech 2013
2014,"Motlicek, Petr; Imseng, David; Cernak, Milos; Kim, Namhoon",Development of bilingual ASR system for MediaParl corpus,Interspeech 2014,,10.21437/Interspeech.2014-342,https://www.isca-speech.org/archive/interspeech_2014/motlicek14_interspeech.html,"The development of an Automatic Speech Recognition (ASR) system for the bilingual MediaParl corpus is challenging for several reasons: (1) reverberant recordings, (2) accented speech, and (3) no prior information about the language. In that context, we employ frequency domain linear prediction-based (FDLP) features to reduce the effect of reverberation, exploit bilingual deep neural networks applied in Tandem and hybrid acoustic modeling approaches to signiﬁcantly improve ASR for accented speech and develop a fully bilingual ASR system using entropy-based decoding-graph selection. Our experiments indicate that the proposed bilingual ASR system performs similar to a language-speciﬁc ASR system if approximately ﬁve seconds of speech are available.",14/09/2014,22/02/2023 10:36,26/02/2023 12:51,30/01/2023 14:18,1391-1394,ISCA,en,ASR; L2; no-description-of-accent; no-def,Interspeech 2014
2014,"Najafian, Maryam; DeMarco, Andrea; Cox, Stephen; Russell, Martin",Unsupervised model selection for recognition of regional accented speech,Interspeech 2014,,10.21437/Interspeech.2014-495,https://www.isca-speech.org/archive/interspeech_2014/najafian14_interspeech.html,"This paper is concerned with automatic speech recognition (ASR) for accented speech. Given a small amount of speech from a new speaker, is it better to apply speaker adaptation to the baseline, or to use accent identiﬁcation (AID) to identify the speaker’s accent and select an accent-dependent acoustic model? Three accent-based model selection methods are investigated: using the ‘true’ accent model, and unsupervised model selection using i-Vector and phonotactic-based AID. All three methods outperform the unadapted baseline. Most signiﬁcantly, AID-based model selection using 43s of speech performs better than unsupervised speaker adaptation, even if the latter uses ﬁve times more adaptation data. Combining unsupervised AIDbased model selection and speaker adaptation gives an average relative reduction in ASR error rate of up to 47%.",14/09/2014,22/02/2023 10:36,26/02/2023 10:56,30/01/2023 14:18,2967-2971,ISCA,en,english; ASR; L1; description-of-accent; definition,Interspeech 2014
2022,"Nguyen, Tuan Nam; Pham, Ngoc-Quan; Waibel, Alexander",Accent Conversion using Pre-trained Model and Synthesized Data from Voice Conversion,Interspeech 2022,,10.21437/Interspeech.2022-10729,https://www.isca-speech.org/archive/interspeech_2022/nguyen22d_interspeech.html,"Accent conversion (AC) aims to generate synthetic audios by changing the pronunciation pattern and prosody of source speakers (in source audios) while preserving voice quality and linguistic content. There has not been a parallel corpus that contains pairs of audios having the same contents yet coming from the same speakers in different accents, the authors hence work on a solution to synthesize one as training input. The training pipeline is conducted via two steps. First, a voice conversion (VC) model is constructed to synthesize a training data set, containing pairs of audios in the same voice but two different accents. Second, an AC model is trained with the synthesized data to convert a source accented speech to a target accented speech. Given the recognized success of self-supervised learning speech representation (wav2vec 2.0) on certain speech problems such as VC, speech recognition, speech translation, and speech-tospeech translation, we adopt this architecture with some customization to train the AC model in the second step. With just 9-hour synthesized training data, the encoder initialized by the weight of the pre-trained wav2vec 2.0 model outperforms the LSTM-based encoder.",18/09/2022,22/02/2023 10:36,27/02/2023 08:20,30/01/2023 14:18,2583-2587,ISCA,en,L1-or-L2; voice-conversion; no-description-of-accent; no-def,Interspeech 2022
